scientific_name,bbl_common_name,bbl_alpha,bbl_french_name,bbl_threatened_endangered,genus
Aechmophorus occidentalis,Western Grebe,WEGR,Grèbe élégant,,Aechmophorus
Aechmophorus clarkii,Clark's Grebe,CLGR,Grèbe à face blanche,,Aechmophorus
Podiceps grisegena,Red-necked Grebe,RNGR,Grèbe jougris,,Podiceps
Podiceps auritus,Horned Grebe,HOGR,Grèbe esclavon,Québec,Podiceps
Podiceps nigricollis,Eared Grebe,EAGR,Grèbe à cou noir,,Podiceps
Tachybaptus dominicus,Least Grebe,LEGR,Grèbe minime,,Tachybaptus
Podilymbus podiceps,Pied-billed Grebe,PBGR,Grèbe à bec bigarré,,Podilymbus
Gavia immer,Common Loon,COLO,Plongeon huard,,Gavia
Gavia adamsii,Yellow-billed Loon,YBLO,Plongeon à bec blanc,,Gavia
Gavia arctica,Arctic Loon,ARLO,Plongeon arctique,,Gavia
Gavia pacifica,Pacific Loon,PALO,Plongeon du Pacifique,,Gavia
Gavia stellata,Red-throated Loon,RTLO,Plongeon catmarin,,Gavia
Fratercula cirrhata,Tufted Puffin,TUPU,Macareux huppé,,Fratercula
Fratercula arctica,Atlantic Puffin,ATPU,Macareux moine,,Fratercula
Fratercula corniculata,Horned Puffin,HOPU,Macareux cornu,,Fratercula
Cerorhinca monocerata,Rhinoceros Auklet,RHAU,Macareux rhinocéros,,Cerorhinca
Ptychoramphus aleuticus,Cassin's Auklet,CAAU,Starique de Cassin,,Ptychoramphus
Aethia psittacula,Parakeet Auklet,PAAU,Starique perroquet,,Aethia
Aethia cristatella,Crested Auklet,CRAU,Starique cristatelle,,Aethia
Aethia pygmaea,Whiskered Auklet,WHAU,Starique pygmée,,Aethia
Aethia pusilla,Least Auklet,LEAU,Starique minuscule,,Aethia
Synthliboramphus antiquus,Ancient Murrelet,ANMU,Guillemot à cou blanc,,Synthliboramphus
Brachyramphus marmoratus,Marbled Murrelet,MAMU,Guillemot marbré,Y,Brachyramphus
Brachyramphus perdix,Long-billed Murrelet,LBMU,Guillemot à long bec,,Brachyramphus
Brachyramphus marmoratus,Alaska Marbled Murrelet,AMMU,Guillemot marbré de l'Alaska,,Brachyramphus
Brachyramphus brevirostris,Kittlitz's Murrelet,KIMU,Guillemot de Kittlitz,,Brachyramphus
Synthliboramphus scrippsi,Scripps's Murrelet,SCMU,Guillemot de Scripps,,Synthliboramphus
Synthliboramphus hypoleucus,Guadalupe Murrelet,GUMU,Guillemot de Xantus,,Synthliboramphus
Synthliboramphus craveri,Craveri's Murrelet,CRMU,Guillemot de Craveri,,Synthliboramphus
Cepphus grylle,Black Guillemot,BLGU,Guillemot à miroir,,Cepphus
Cepphus columba,Pigeon Guillemot,PIGU,Guillemot colombin,,Cepphus
Uria aalge,Common Murre,COMU,Guillemot marmette,,Uria
Uria lomvia,Thick-billed Murre,TBMU,Guillemot de Brünnich,,Uria
Alca torda,Razorbill,RAZO,Petit Pingouin,,Alca
Alle alle,Dovekie,DOVE,Mergule nain,,Alle
Stercorarius skua,Great Skua,GRSK,Grand Labbe,,Stercorarius
Stercorarius maccormicki,South Polar Skua,SPSK,Labbe de McCormick,,Stercorarius
Stercorarius pomarinus,Pomarine Jaeger,POJA,Labbe pomarin,,Stercorarius
Stercorarius parasiticus,Parasitic Jaeger,PAJA,Labbe parasite,,Stercorarius
Stercorarius longicaudus,Long-tailed Jaeger,LTJA,Labbe à longue queue,,Stercorarius
Pagophila eburnea,Ivory Gull,IVGU,Mouette blanche,Newfoundland and Labrador Northwest Territories Nunavut,Pagophila
Leucophaeus scoresbii,Dolphin Gull,DOGU,Goéland de Scoresby,,Leucophaeus
Rissa tridactyla,Black-legged Kittiwake,BLKI,Mouette tridactyle,,Rissa
Rissa brevirostris,Red-legged Kittiwake,RLKI,Mouette des brumes,,Rissa
Larus hyperboreus,Glaucous Gull,GLGU,Goéland bourgmestre,,Larus
Larus glaucoides,Iceland Gull,ICGU,Goéland arctique,,Larus
Larus glaucoides thayeri,Thayer's Gull,THGU,Goéland de Thayer,,Larus
Larus glaucescens,Glaucous-winged Gull,GWGU,Goéland à ailes grises,,Larus
Larus marinus,Great Black-backed Gull,GBBG,Goéland marin,,Larus
Larus schistisagus,Slaty-backed Gull,SBGU,Goéland à manteau ardoisé,,Larus
Larus occidentalis,Western Gull,WEGU,Goéland d'Audubon,,Larus
