scientific_name,avilist_common_name,avilist_taxon_rank,avilist_order,avilist_family,avilist_iucn_status,avilist_avibase_id,genus
Struthioniformes,,order,Struthioniformes,,,,Struthioniformes
Struthionidae,,family,Struthioniformes,Struthionidae,,,Struthionidae
Struthio,,genus,Struthioniformes,Struthionidae,,,Struthio
Struthio molybdophanes,Somali Ostrich,species,Struthioniformes,Struthionidae,VU,avibase-40329BB6,Struthio
Struthio camelus,Common Ostrich,species,Struthioniformes,Struthionidae,LC,avibase-2247CB05,Struthio
Struthio camelus syriacus,,subspecies,Struthioniformes,Struthionidae,,avibase-06477478,Struthio
Struthio camelus camelus,,subspecies,Struthioniformes,Struthionidae,,avibase-E7F58C33,Struthio
Struthio camelus massaicus,,subspecies,Struthioniformes,Struthionidae,,avibase-BF8ED7FA,Struthio
Struthio camelus australis,,subspecies,Struthioniformes,Struthionidae,,avibase-F9A8BEDD,Struthio
Casuariiformes,,order,Casuariiformes,,,,Casuariiformes
Casuariidae,,family,Casuariiformes,Casuariidae,,,Casuariidae
Dromaius,,genus,Casuariiformes,Casuariidae,,,Dromaius
Dromaius novaehollandiae,Emu,species,Casuariiformes,Casuariidae,NE,avibase-FD2456D5,Dromaius
Dromaius novaehollandiae novaehollandiae,,subspecies,Casuariiformes,Casuariidae,,avibase-112A5157,Dromaius
Dromaius novaehollandiae diemenensis,,subspecies,Casuariiformes,Casuariidae,,avibase-27CB32C8,Dromaius
Dromaius novaehollandiae minor,,subspecies,Casuariiformes,Casuariidae,,avibase-74DD2EFA,Dromaius
Dromaius novaehollandiae baudinianus,,subspecies,Casuariiformes,Casuariidae,,avibase-2EBDF4EE,Dromaius
Casuarius,,genus,Casuariiformes,Casuariidae,,,Casuarius
Casuarius casuarius,Southern Cassowary,species,Casuariiformes,Casuariidae,LC,avibase-8B9D93D8,Casuarius
Casuarius bennetti,Dwarf Cassowary,species,Casuariiformes,Casuariidae,LC,avibase-7751E0D1,Casuarius
Casuarius bennetti westermanni,,subspecies,Casuariiformes,Casuariidae,,avibase-C369DA29,Casuarius
Casuarius bennetti bennetti,,subspecies,Casuariiformes,Casuariidae,,avibase-FDAF3012,Casuarius
Casuarius unappendiculatus,Northern Cassowary,species,Casuariiformes,Casuariidae,LC,avibase-32E7303B,Casuarius
Apterygiformes,,order,Apterygiformes,,,,Apterygiformes
Apterygidae,,family,Apterygiformes,Apterygidae,,,Apterygidae
Apteryx,,genus,Apterygiformes,Apterygidae,,,Apteryx
Apteryx owenii,Little Spotted Kiwi,species,Apterygiformes,Apterygidae,NT,avibase-187706CF,Apteryx
Apteryx maxima,Great Spotted Kiwi,species,Apterygiformes,Apterygidae,VU,avibase-0D8B9E40,Apteryx
Apteryx australis,Southern Brown Kiwi,species,Apterygiformes,Apterygidae,VU,avibase-6BA55EF0,Apteryx
Apteryx australis australis,,subspecies,Apterygiformes,Apterygidae,,avibase-542125A3,Apteryx
Apteryx australis lawryi,,subspecies,Apterygiformes,Apterygidae,,avibase-85AC0A84,Apteryx
Apteryx rowi,Okarito Kiwi,species,Apterygiformes,Apterygidae,VU,avibase-D433BDAB,Apteryx
Apteryx mantelli,North Island Brown Kiwi,species,Apterygiformes,Apterygidae,VU,avibase-DB55CB8C,Apteryx
Rheiformes,,order,Rheiformes,,,,Rheiformes
Rheidae,,family,Rheiformes,Rheidae,,,Rheidae
Rhea,,genus,Rheiformes,Rheidae,,,Rhea
Rhea pennata,Lesser Rhea,species,Rheiformes,Rheidae,LC,avibase-590ADF92,Rhea
Rhea pennata garleppi,,subspecies,Rheiformes,Rheidae,,avibase-8B0DE346,Rhea
Rhea pennata tarapacensis,,subspecies,Rheiformes,Rheidae,,avibase-80BFC272,Rhea
Rhea pennata pennata,,subspecies,Rheiformes,Rheidae,,avibase-BA52A675,Rhea
Rhea americana,Greater Rhea,species,Rheiformes,Rheidae,NT,avibase-00986B24,Rhea
Rhea americana americana,,subspecies,Rheiformes,Rheidae,,avibase-B6A3026E,Rhea
Rhea americana intermedia,,subspecies,Rheiformes,Rheidae,,avibase-01885081,Rhea
Rhea americana nobilis,,subspecies,Rheiformes,Rheidae,,avibase-82106A83,Rhea
Rhea americana araneipes,,subspecies,Rheiformes,Rheidae,,avibase-6C3FA80A,Rhea
Rhea americana albescens,,subspecies,Rheiformes,Rheidae,,avibase-17693009,Rhea
Tinamiformes,,order,Tinamiformes,,,,Tinamiformes
Tinamidae,,family,Tinamiformes,Tinamidae,,,Tinamidae
Tinamotis,,genus,Tinamiformes,Tinamidae,,,Tinamotis
Tinamotis pentlandii,Puna Tinamou,species,Tinamiformes,Tinamidae,LC,avibase-0A51B426,Tinamotis
Tinamotis ingoufi,Patagonian Tinamou,species,Tinamiformes,Tinamidae,LC,avibase-EC451D91,Tinamotis
Eudromia,,genus,Tinamiformes,Tinamidae,,,Eudromia
Eudromia formosa,Quebracho Crested Tinamou,species,Tinamiformes,Tinamidae,LC,avibase-9337459C,Eudromia
Eudromia formosa formosa,,subspecies,Tinamiformes,Tinamidae,,avibase-B5000816,Eudromia
Eudromia formosa mira,,subspecies,Tinamiformes,Tinamidae,,avibase-A720C340,Eudromia
Eudromia elegans,Elegant Crested Tinamou,species,Tinamiformes,Tinamidae,LC,avibase-4E215E82,Eudromia
Eudromia elegans intermedia,,subspecies,Tinamiformes,Tinamidae,,avibase-160D5D9F,Eudromia
Eudromia elegans magnistriata,,subspecies,Tinamiformes,Tinamidae,,avibase-4CB9A1ED,Eudromia
Eudromia elegans riojana,,subspecies,Tinamiformes,Tinamidae,,avibase-B6029F6D,Eudromia
Eudromia elegans albida,,subspecies,Tinamiformes,Tinamidae,,avibase-69B89614,Eudromia
Eudromia elegans wetmorei,,subspecies,Tinamiformes,Tinamidae,,avibase-A6FAA01D,Eudromia
Eudromia elegans numida,,subspecies,Tinamiformes,Tinamidae,,avibase-BF05A264,Eudromia
Eudromia elegans elegans,,subspecies,Tinamiformes,Tinamidae,,avibase-BC480B0E,Eudromia
Eudromia elegans multiguttata,,subspecies,Tinamiformes,Tinamidae,,avibase-F3CDD01B,Eudromia
Eudromia elegans devia,,subspecies,Tinamiformes,Tinamidae,,avibase-BD75AED9,Eudromia
Eudromia elegans patagonica,,subspecies,Tinamiformes,Tinamidae,,avibase-F452FAF4,Eudromia
Taoniscus,,genus,Tinamiformes,Tinamidae,,,Taoniscus
Taoniscus nanus,Dwarf Tinamou,species,Tinamiformes,Tinamidae,EN,avibase-B62C4561,Taoniscus
Nothura,,genus,Tinamiformes,Tinamidae,,,Nothura
Nothura boraquira,White-bellied Nothura,species,Tinamiformes,Tinamidae,LC,avibase-458340C7,Nothura
Nothura minor,Lesser Nothura,species,Tinamiformes,Tinamidae,VU,avibase-99D7964C,Nothura
Nothura darwinii,Darwin's Nothura,species,Tinamiformes,Tinamidae,LC,avibase-F7D16275,Nothura
Nothura darwinii peruviana,,subspecies,Tinamiformes,Tinamidae,,avibase-E6153016,Nothura
Nothura darwinii agassizii,,subspecies,Tinamiformes,Tinamidae,,avibase-51F6AD5E,Nothura
Nothura darwinii boliviana,,subspecies,Tinamiformes,Tinamidae,,avibase-9FBAE387,Nothura
Nothura darwinii salvadorii,,subspecies,Tinamiformes,Tinamidae,,avibase-BD226A99,Nothura
Nothura darwinii darwinii,,subspecies,Tinamiformes,Tinamidae,,avibase-5D5CFB7A,Nothura
Nothura maculosa,Spotted Nothura,species,Tinamiformes,Tinamidae,LC,avibase-03C3DDFB,Nothura
Nothura maculosa cearensis,,subspecies,Tinamiformes,Tinamidae,,avibase-08B8801B,Nothura
Nothura maculosa major,,subspecies,Tinamiformes,Tinamidae,,avibase-4DD640B2,Nothura
Nothura maculosa paludivaga,,subspecies,Tinamiformes,Tinamidae,,avibase-DABCD774,Nothura
