scientific_name,birdlife_common_name,birdlife_order,birdlife_family,birdlife_iucn_status,genus
Struthio camelus,Common Ostrich,STRUTHIONIFORMES,Struthionidae,LC,Struthio
Struthio molybdophanes,Somali Ostrich,STRUTHIONIFORMES,Struthionidae,VU,Struthio
Rhea americana,Greater Rhea,STRUTHIONIFORMES,Rheidae,NT,Rhea
Rhea pennata,Lesser Rhea,STRUTHIONIFORMES,Rheidae,LC,Rhea
Nothocercus julius,Tawny-breasted Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothocercus
Nothocercus bonapartei,Highland Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothocercus
Nothocercus nigrocapillus,Hooded Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Nothocercus
Tinamus tao,Grey Tinamou,STRUTHIONIFORMES,Tinamidae,VU,Tinamus
Tinamus solitarius,Solitary Tinamou,STRUTHIONIFORMES,Tinamidae,NT,Tinamus
Tinamus osgoodi,Black Tinamou,STRUTHIONIFORMES,Tinamidae,VU,Tinamus
Tinamus major,Great Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Tinamus
Tinamus guttatus,White-throated Tinamou,STRUTHIONIFORMES,Tinamidae,NT,Tinamus
Crypturellus berlepschi,Berlepsch's Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus cinereus,Cinereous Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus ptaritepui,Tepui Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus soui,Little Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus obsoletus,Brown Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus undulatus,Undulated Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus strigulosus,Brazilian Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus duidae,Grey-legged Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus erythropus,Red-legged Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus noctivagus,Yellow-legged Tinamou,STRUTHIONIFORMES,Tinamidae,NT,Crypturellus
Crypturellus atrocapillus,Black-capped Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus cinnamomeus,Thicket Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
Crypturellus transfasciatus,Pale-browed Tinamou,STRUTHIONIFORMES,Tinamidae,NT,Crypturellus
Crypturellus boucardi,Slaty-breasted Tinamou,STRUTHIONIFORMES,Tinamidae,VU,Crypturellus
Crypturellus kerriae,Choco Tinamou,STRUTHIONIFORMES,Tinamidae,NT,Crypturellus
Crypturellus variegatus,Variegated Tinamou,STRUTHIONIFORMES,Tinamidae,LC,Crypturellus
