scientific_name,ebird_common_name,ebird_species_code,ebird_order,ebird_family,genus
Struthio camelus,Common Ostrich,ostric2,Struthioniformes,Struthionidae,Struthio
Struthio molybdophanes,Somali Ostrich,ostric3,Struthioniformes,Struthionidae,Struthio
Rhea americana,Greater Rhea,grerhe1,Rheiformes,Rheidae,Rhea
Rhea pennata,Lesser Rhea,lesrhe2,Rheiformes,Rheidae,Rhea
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,Tinamiformes,Tinamidae,Nothocercus
Nothocercus bonapartei,Highland Tinamou,higtin1,Tinamiformes,Tinamidae,Nothocercus
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,Tinamiformes,Tinamidae,Nothocercus
Tinamus tao,Gray Tinamou,grytin1,Tinamiformes,Tinamidae,Tinamus
Tinamus solitarius,Solitary Tinamou,soltin1,Tinamiformes,Tinamidae,Tinamus
Tinamus osgoodi,Black Tinamou,blatin1,Tinamiformes,Tinamidae,Tinamus
Tinamus major,Great Tinamou,gretin1,Tinamiformes,Tinamidae,Tinamus
Tinamus guttatus,White-throated Tinamou,whttin1,Tinamiformes,Tinamidae,Tinamus
Crypturellus cinereus,Cinereous Tinamou,cintin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus soui,Little Tinamou,littin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus ptaritepui,Tepui Tinamou,teptin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus obsoletus,Brown Tinamou,brotin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus undulatus,Undulated Tinamou,undtin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus strigulosus,Brazilian Tinamou,bratin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus duidae,Gray-legged Tinamou,gyltin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus erythropus,Red-legged Tinamou,reltin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus kerriae,Choco Tinamou,chotin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus variegatus,Variegated Tinamou,vartin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus brevirostris,Rusty Tinamou,rustin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus bartletti,Bartlett's Tinamou,bartin2,Tinamiformes,Tinamidae,Crypturellus
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus casiquiare,Barred Tinamou,bartin1,Tinamiformes,Tinamidae,Crypturellus
Crypturellus tataupa,Tataupa Tinamou,tattin1,Tinamiformes,Tinamidae,Crypturellus
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,Tinamiformes,Tinamidae,Rhynchotus
Rhynchotus maculicollis,Huayco Tinamou,huatin1,Tinamiformes,Tinamidae,Rhynchotus
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,Tinamiformes,Tinamidae,Nothoprocta
Nothoprocta ornata,Ornate Tinamou,orntin1,Tinamiformes,Tinamidae,Nothoprocta
Nothoprocta perdicaria,Chilean Tinamou,chitin1,Tinamiformes,Tinamidae,Nothoprocta
Nothoprocta cinerascens,Brushland Tinamou,brutin1,Tinamiformes,Tinamidae,Nothoprocta
Nothoprocta pentlandii,Andean Tinamou,andtin1,Tinamiformes,Tinamidae,Nothoprocta
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,Tinamiformes,Tinamidae,Nothoprocta
Nothura boraquira,White-bellied Nothura,whbnot1,Tinamiformes,Tinamidae,Nothura
Nothura minor,Lesser Nothura,lesnot1,Tinamiformes,Tinamidae,Nothura
Nothura darwinii,Darwin's Nothura,darnot1,Tinamiformes,Tinamidae,Nothura
Nothura maculosa,Spotted Nothura,sponot1,Tinamiformes,Tinamidae,Nothura
Taoniscus nanus,Dwarf Tinamou,dwatin1,Tinamiformes,Tinamidae,Taoniscus
Eudromia elegans,Elegant Crested-Tinamou,elctin1,Tinamiformes,Tinamidae,Eudromia
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,Tinamiformes,Tinamidae,Eudromia
Tinamotis pentlandii,Puna Tinamou,puntin1,Tinamiformes,Tinamidae,Tinamotis
Tinamotis ingoufi,Patagonian Tinamou,pattin1,Tinamiformes,Tinamidae,Tinamotis
Casuarius casuarius,Southern Cassowary,soucas1,Casuariiformes,Casuariidae,Casuarius
Casuarius bennetti,Dwarf Cassowary,dwacas1,Casuariiformes,Casuariidae,Casuarius
Casuarius unappendiculatus,Northern Cassowary,norcas1,Casuariiformes,Casuariidae,Casuarius
Dromaius novaehollandiae,Emu,emu1,Casuariiformes,Casuariidae,Dromaius
Apteryx australis,Southern Brown Kiwi,sobkiw1,Apterygiformes,Apterygidae,Apteryx
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,Apterygiformes,Apterygidae,Apteryx
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,Apterygiformes,Apterygidae,Apteryx
Apteryx owenii,Little Spotted Kiwi,liskiw1,Apterygiformes,Apterygidae,Apteryx
Apteryx haastii,Great Spotted Kiwi,grskiw1,Apterygiformes,Apterygidae,Apteryx
Anhima cornuta,Horned Screamer,horscr1,Anseriformes,Anhimidae,Anhima
Chauna torquata,Southern Screamer,souscr1,Anseriformes,Anhimidae,Chauna
Chauna chavaria,Northern Screamer,norscr1,Anseriformes,Anhimidae,Chauna
Anseranas semipalmata,Magpie Goose,maggoo1,Anseriformes,Anseranatidae,Anseranas
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,Anseriformes,Anatidae,Dendrocygna
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,Anseriformes,Anatidae,Dendrocygna
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,Anseriformes,Anatidae,Dendrocygna
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,Anseriformes,Anatidae,Dendrocygna
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,Anseriformes,Anatidae,Dendrocygna
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,Anseriformes,Anatidae,Dendrocygna
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,Anseriformes,Anatidae,Dendrocygna
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,Anseriformes,Anatidae,Dendrocygna
Thalassornis leuconotus,White-backed Duck,whbduc1,Anseriformes,Anatidae,Thalassornis
Anser indicus,Bar-headed Goose,bahgoo,Anseriformes,Anatidae,Anser
Anser canagicus,Emperor Goose,empgoo,Anseriformes,Anatidae,Anser
Anser caerulescens,Snow Goose,snogoo,Anseriformes,Anatidae,Anser
Anser rossii,Ross's Goose,rosgoo,Anseriformes,Anatidae,Anser
Anser anser,Graylag Goose,gragoo,Anseriformes,Anatidae,Anser
Anser cygnoides,Swan Goose,swagoo1,Anseriformes,Anatidae,Anser
Anser albifrons,Greater White-fronted Goose,gwfgoo,Anseriformes,Anatidae,Anser
Anser erythropus,Lesser White-fronted Goose,lwfgoo,Anseriformes,Anatidae,Anser
Anser fabalis,Taiga Bean-Goose,taibeg1,Anseriformes,Anatidae,Anser
Anser serrirostris,Tundra Bean-Goose,tunbeg1,Anseriformes,Anatidae,Anser
Anser brachyrhynchus,Pink-footed Goose,pifgoo,Anseriformes,Anatidae,Anser
Branta bernicla,Brant,brant,Anseriformes,Anatidae,Branta
Branta leucopsis,Barnacle Goose,bargoo,Anseriformes,Anatidae,Branta
Branta hutchinsii,Cackling Goose,cacgoo1,Anseriformes,Anatidae,Branta
Branta canadensis,Canada Goose,cangoo,Anseriformes,Anatidae,Branta
Branta sandvicensis,Hawaiian Goose,hawgoo,Anseriformes,Anatidae,Branta
Branta ruficollis,Red-breasted Goose,rebgoo1,Anseriformes,Anatidae,Branta
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1,Anseriformes,Anatidae,Cereopsis
Stictonetta naevosa,Freckled Duck,freduc1,Anseriformes,Anatidae,Stictonetta
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1,Anseriformes,Anatidae,Cyanochen
Cygnus olor,Mute Swan,mutswa,Anseriformes,Anatidae,Cygnus
Cygnus atratus,Black Swan,blkswa,Anseriformes,Anatidae,Cygnus
Cygnus melancoryphus,Black-necked Swan,blnswa2,Anseriformes,Anatidae,Cygnus
Cygnus buccinator,Trumpeter Swan,truswa,Anseriformes,Anatidae,Cygnus
Cygnus columbianus,Tundra Swan,tunswa,Anseriformes,Anatidae,Cygnus
Cygnus cygnus,Whooper Swan,whoswa,Anseriformes,Anatidae,Cygnus
Coscoroba coscoroba,Coscoroba Swan,cosswa1,Anseriformes,Anatidae,Coscoroba
Sarkidiornis melanotos,Knob-billed Duck,comduc2,Anseriformes,Anatidae,Sarkidiornis
Sarkidiornis sylvicola,Comb Duck,comduc3,Anseriformes,Anatidae,Sarkidiornis
Pteronetta hartlaubii,Hartlaub's Duck,harduc1,Anseriformes,Anatidae,Pteronetta
Oressochen jubatus,Orinoco Goose,origoo1,Anseriformes,Anatidae,Oressochen
Oressochen melanopterus,Andean Goose,andgoo1,Anseriformes,Anatidae,Oressochen
Chloephaga picta,Upland Goose,uplgoo1,Anseriformes,Anatidae,Chloephaga
Chloephaga hybrida,Kelp Goose,kelgoo1,Anseriformes,Anatidae,Chloephaga
Chloephaga poliocephala,Ashy-headed Goose,ashgoo1,Anseriformes,Anatidae,Chloephaga
Chloephaga rubidiceps,Ruddy-headed Goose,ruhgoo1,Anseriformes,Anatidae,Chloephaga
Radjah radjah,Radjah Shelduck,radshe1,Anseriformes,Anatidae,Radjah
