scientific_name,ibp_common_name,ibp_alpha_code_4,ibp_alpha_code_6,genus
Nothocercus bonapartei,Highland Tinamou,HITI,NOTBON,Nothocercus
Tinamus major,Great Tinamou,GRTI,TINMAJ,Tinamus
Crypturellus soui,Little Tinamou,LITI,CRYSOU,Crypturellus
Crypturellus cinnamomeus,Thicket Tinamou,THTI,CRYCIN,Crypturellus
Crypturellus boucardi,Slaty-breasted Tinamou,SBTI,CRYBOU,Crypturellus
Crypturellus kerriae,Choco Tinamou,CHTI,CRYKER,Crypturellus
Dendrocygna viduata,White-faced Whistling-Duck,WFWD,DENVID,Dendrocygna
Dendrocygna autumnalis,Black-bellied Whistling-Duck,BBWD,DENAUT,Dendrocygna
Dendrocygna arborea,West Indian Whistling-Duck,WIWD,DENARB,Dendrocygna
Dendrocygna bicolor,Fulvous Whistling-Duck,FUWD,DENBIC,Dendrocygna
Anser canagicus,Emperor Goose,EMGO,ANSCAN,Anser
Anser caerulescens,Snow Goose,SNGO,ANSCAE,Anser
Anser caerulescens caerulescens,Lesser Snow Goose White-morph,LSGW,ANSCCA,Anser
Anser caerulescens caerulescens,Lesser Snow Goose Intermediate-morph,LSGI,ANSCCA,Anser
Anser caerulescens caerulescens,Lesser Snow Goose Blue-morph,LSGB,ANSCCA,Anser
Anser caerulescens atlantica,Greater Snow Goose White-morph,GSGW,ANSCAT,Anser
Anser caerulescens atlantica,Greater Snow Goose Intermediate-morph,GSGI,ANSCAT,Anser
Anser caerulescens atlantica,Greater Snow Goose Blue-morph,GSGB,ANSCAT,Anser
Anser caerulescens x rossii,Snow X Ross's Goose Hybrid,SRGH,ANSCAR,Anser
Anser caerulescens/rossii,Snow/Ross's Goose,SRGO,ANSCRO,Anser
Anser rossii,Ross's Goose,ROGO,ANSROS,Anser
Anser anser,Graylag Goose,GRGO,ANSANS,Anser
Anser albifrons,Greater White-fronted Goose,GWFG,ANSALB,Anser
Anser albifrons elgasi,Tule Greater White-fronted Goose,TWFG,ANSALE,Anser
Anser erythropus,Lesser White-fronted Goose,LWFG,ANSERY,Anser
Anser fabalis,Taiga Bean-Goose,TABG,ANSFAB,Anser
Anser serrirostris,Tundra Bean-Goose,TUBG,ANSSER,Anser
Anser brachyrhynchus,Pink-footed Goose,PFGO,ANSBRA,Anser
Branta bernicla,Brant,BRAN,BRABER,Branta
Branta bernicula bernicula,Atlantic Brant,ATBR,BRABBE,Branta
Branta bernicula bernicula x nigrican,Black X Atlantic Brant Intergrade,BABI,BRABBN,Branta
Branta bernicula nigricans,Black Brant,BLBR,BRABNI,Branta
Branta leucopsis,Barnacle Goose,BARG,BRALEU,Branta
Branta hutchinsii,Cackling Goose,CACG,BRAHUT,Branta
Branta hutchinsii leucopareia,Aleutian Cackling Goose,ACGO,BRAHLE,Branta
Branta hutchinsii minima,Minima Cackling Goose,MCGO,BRAHMI,Branta
Branta hutchinsii/canadensis,Cackling/Canada Goose,CCGO,BRAHUC,Branta
Branta canadensis,Canada Goose,CANG,BRACAN,Branta
Branta canadensis moffitti,Large Canada Goose,LCGO,BRACMO,Branta
Branta canadensis parvipes,Small Canada Goose,SCGO,BRACPA,Branta
Branta sandvicensis,Hawaiian Goose,HAGO,BRASAN,Branta
Anserinae (gen. sp.),Unidentified Goose,UNGO,ANSGSP,Anserinae
Cygnus olor,Mute Swan,MUSW,CYGOLO,Cygnus
Cygnus buccinator,Trumpeter Swan,TRUS,CYGBUC,Cygnus
Cygnus columbianus,Tundra Swan,TUSW,CYGCOL,Cygnus
Cygnus columbianus columbianus,Whistling Swan,WHSW,CYGCCO,Cygnus
Cygnus columbianus bewickii,Bewick's Swan,BESW,CYGCBE,Cygnus
Cygnus cygnus,Whooper Swan,WHOS,CYGCYG,Cygnus
Sarkidiornis sylvicola,Comb Duck,CODU,SARSYL,Sarkidiornis
Neochen jubata,Orinoco Goose,ORGO,NEOJUB,Neochen
Alopochen aegyptiaca,Egyptian Goose,EGGO,ALOAEG,Alopochen
Tadorna tadorna,Common Shelduck,COMS,TADTAD,Tadorna
Tadorna ferruginea,Ruddy Shelduck,RUSH,TADFER,Tadorna
Cairina moschata,Muscovy Duck,MUDU,CAIMOS,Cairina
Aix sponsa,Wood Duck,WODU,AIXSPO,Aix
Sibirionetta formosa,Baikal Teal,BATE,SIBFOR,Sibirionetta
Spatula querquedula,Garganey,GARG,SPAQUE,Spatula
Spatula discors,Blue-winged Teal,BWTE,SPADIS,Spatula
Spatula discors/cyanoptera,Blue-winged/Cinnamon Teal,BCTE,SPADIC,Spatula
Spatula cyanoptera,Cinnamon Teal,CITE,SPACYA,Spatula
Spatula clypeata,Northern Shoveler,NSHO,SPACLY,Spatula
Mareca strepera,Gadwall,GADW,MARSTR,Mareca
Mareca falcata,Falcated Duck,FADU,MARFAL,Mareca
Mareca penelope,Eurasian Wigeon,EUWI,MARPEN,Mareca
Mareca americana,American Wigeon,AMWI,MARAME,Mareca
Anas laysanensis,Laysan Duck,LAYD,ANALAY,Anas
Anas wyvilliana,Hawaiian Duck,HAWD,ANAWYV,Anas
Anas platyrhynchos x wyvilliana,Mallard X Hawaiian Duck Hybrid,MHDH,ANAPLW,Anas
Anas zonorhyncha,Eastern Spot-billed Duck,ESBD,ANAZON,Anas
Anas platyrhynchos,Mallard,MALL,ANAPLA,Anas
Anas diazi,Mexican Duck,MEDU,ANADIA,Anas
Anas platyrhynchos x rubripes,Mallard X American Black Duck Hybrid,MBDH,ANAPLR,Anas
Anas rubripes,American Black Duck,ABDU,ANARUB,Anas
Anas fulvigula,Mottled Duck,MODU,ANAFUL,Anas
Anas bahamensis,White-cheeked Pintail,WCHP,ANABAH,Anas
Anas acuta,Northern Pintail,NOPI,ANAACU,Anas
Anas crecca,Green-winged Teal,GWTE,ANACRE,Anas
Anas crecca carolinensis,American Green-winged Teal,AGWT,ANACCA,Anas
Anas crecca crecca,Eurasian Green-winged Teal,EGWT,ANACCR,Anas
Aythya valisineria,Canvasback,CANV,AYTVAL,Aythya
Aythya americana,Redhead,REDH,AYTAME,Aythya
Aythya ferina,Common Pochard,COMP,AYTFER,Aythya
Aythya collaris,Ring-necked Duck,RNDU,AYTCOL,Aythya
Aythya fuligula,Tufted Duck,TUDU,AYTFUL,Aythya
Aythya marila,Greater Scaup,GRSC,AYTMAR,Aythya
Aythya affinis,Lesser Scaup,LESC,AYTAFF,Aythya
Polysticta stelleri,Steller's Eider,STEI,POLSTE,Polysticta
Camptorhynchus labradorius,Labrador Duck,LABD,CAMLAB,Camptorhynchus
Somateria fischeri,Spectacled Eider,SPEI,SOMFIS,Somateria
Somateria spectabilis,King Eider,KIEI,SOMSPE,Somateria
Somateria mollissima,Common Eider,COEI,SOMMOL,Somateria
Histrionicus histrionicus,Harlequin Duck,HADU,HISHIS,Histrionicus
Melanitta perspicillata,Surf Scoter,SUSC,MELPER,Melanitta
Melanitta fusca,Velvet Scoter,VESC,MENFUS,Melanitta
Melanitta deglandi,White-winged Scoter,WWSC,MELDEG,Melanitta
Melanitta stejnegeri,Stejneger's Scoter,STSC,MELSTE,Melanitta
Melanitta nigra,Common Scoter,COSC,MENNIG,Melanitta
Melanitta americana,Black Scoter,BLSC,MELAME,Melanitta
Clangula hyemalis,Long-tailed Duck,LTDU,CLAHYE,Clangula
Bucephala albeola,Bufflehead,BUFF,BUCALB,Bucephala
Bucephala clangula,Common Goldeneye,COGO,BUCCLA,Bucephala
Bucephala islandica,Barrow's Goldeneye,BAGO,BUCISL,Bucephala
Mergellus albellus,Smew,SMEW,MERALB,Mergellus
Lophodytes cucullatus,Hooded Merganser,HOME,LOPCUC,Lophodytes
Mergus merganser,Common Merganser,COME,MERMER,Mergus
Mergus serrator,Red-breasted Merganser,RBME,MERSER,Mergus
Nomonyx dominicus,Masked Duck,MADU,NOMDOM,Nomonyx
Oxyura jamaicensis,Ruddy Duck,RUDU,OXYJAM,Oxyura
"Anatinae (gen, sp)",Unidentified Duck,UNDU,ANAGSP,Anatinae
Ortalis vetula,Plain Chachalaca,PLCH,ORTVET,Ortalis
Ortalis cinereiceps,Gray-headed Chachalaca,GHEC,ORTCIN,Ortalis
Ortalis ruficauda,Rufous-vented Chachalaca,RVCH,ORTRUF,Ortalis
Ortalis wagleri,Rufous-bellied Chachalaca,RBEC,ORTWAG,Ortalis
Ortalis poliocephala,West Mexican Chachalaca,WMCH,ORTPOL,Ortalis
Ortalis leucogastra,White-bellied Chachalaca,WBCH,ORTLEU,Ortalis
Penelope purpurascens,Crested Guan,CRGU,PENPUR,Penelope
Chamaepetes unicolor,Black Guan,BLAG,CHAUNI,Chamaepetes
Penelopina nigra,Highland Guan,HIGU,PENNIG,Penelopina
Oreophasis derbianus,Horned Guan,HOGU,OREDER,Oreophasis
Crax rubra,Great Curassow,GRCU,CRARUB,Crax
